pair_key,substance_a_id,substance_b_id,exact_chunk_count,class_level_chunk_count,total_chunk_count,source_count,source_ids,source_titles,exact_chunk_ids,class_level_chunk_ids,all_chunk_ids
alcohol|tricyclic_ad,alcohol,tricyclic_ad,0,0,0,0,,,,,
alcohol|two_c_x,alcohol,two_c_x,0,0,0,0,,,,,
alcohol|yopo,yopo,alcohol,0,0,0,0,,,,,
amphetamine_stims|amphetamine_stims,amphetamine_stims,amphetamine_stims,0,0,0,0,,,,,
amphetamine_stims|antihypertensives,amphetamine_stims,antihypertensives,0,0,0,0,,,,,
amphetamine_stims|antipsychotics,amphetamine_stims,antipsychotics,3,1,4,4,cohen_2021;halman_2024;liechti_2014;sarparast_2022,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Drug-drug interactions between psychiatric medications and MDMA or psilocybin | Drug-drug interactions involving classic psychedelics: A systematic review | Effects of MDMA on body temperature in humans,cohen_2021::chunk::bbefec5b8cb7;liechti_2014::chunk::cd95581ced7b;sarparast_2022::chunk::d99d01a7a274,halman_2024::chunk::567a1313706a,cohen_2021::chunk::bbefec5b8cb7;halman_2024::chunk::567a1313706a;liechti_2014::chunk::cd95581ced7b;sarparast_2022::chunk::d99d01a7a274
amphetamine_stims|atypical_ad,atypical_ad,amphetamine_stims,0,0,0,0,,,,,
amphetamine_stims|ayahuasca,ayahuasca,amphetamine_stims,0,19,19,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb
amphetamine_stims|belladonna,belladonna,amphetamine_stims,0,0,0,0,,,,,
amphetamine_stims|benzodiazepines,amphetamine_stims,benzodiazepines,4,0,4,2,cohen_2021;rached_2026,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances,cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;cohen_2021::chunk::bbefec5b8cb7;rached_2026::chunk::89e8183c85b8,,cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;cohen_2021::chunk::bbefec5b8cb7;rached_2026::chunk::89e8183c85b8
amphetamine_stims|beta_blockers,amphetamine_stims,beta_blockers,2,0,2,1,lindsey_2012,Drug Interactions between Common Illicit Drugs and Prescription Therapies,lindsey_2012::chunk::22a1efbbd284;lindsey_2012::chunk::5157e31148e1,,lindsey_2012::chunk::22a1efbbd284;lindsey_2012::chunk::5157e31148e1
amphetamine_stims|beta_blockers_ccb,amphetamine_stims,beta_blockers_ccb,0,0,0,0,,,,,
amphetamine_stims|brugmansia,brugmansia,amphetamine_stims,0,0,0,0,,,,,
amphetamine_stims|calcium_channel_blockers,amphetamine_stims,calcium_channel_blockers,0,0,0,0,,,,,
amphetamine_stims|cannabis,cannabis,amphetamine_stims,5,0,5,3,cohen_2021;lindsey_2012;rached_2026,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Drug Interactions between Common Illicit Drugs and Prescription Therapies | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances,cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;lindsey_2012::chunk::22a1efbbd284;lindsey_2012::chunk::5157e31148e1;rached_2026::chunk::89e8183c85b8,,cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;lindsey_2012::chunk::22a1efbbd284;lindsey_2012::chunk::5157e31148e1;rached_2026::chunk::89e8183c85b8
amphetamine_stims|clonidine,amphetamine_stims,clonidine,0,0,0,0,,,,,
amphetamine_stims|clonidine_guanfacine,amphetamine_stims,clonidine_guanfacine,0,0,0,0,,,,,
amphetamine_stims|cocaine,amphetamine_stims,cocaine,3,0,3,2,lindsey_2012;rached_2026,Drug Interactions between Common Illicit Drugs and Prescription Therapies | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances,lindsey_2012::chunk::22a1efbbd284;lindsey_2012::chunk::5157e31148e1;rached_2026::chunk::f0b8f4bd20a9,,lindsey_2012::chunk::22a1efbbd284;lindsey_2012::chunk::5157e31148e1;rached_2026::chunk::f0b8f4bd20a9
amphetamine_stims|dox,amphetamine_stims,dox,0,0,0,0,,,,,
amphetamine_stims|five_meo_dmt,five_meo_dmt,amphetamine_stims,0,0,0,0,,,,,
amphetamine_stims|guanfacine,amphetamine_stims,guanfacine,0,0,0,0,,,,,
amphetamine_stims|iboga,amphetamine_stims,iboga,0,0,0,0,,,,,
amphetamine_stims|kambo,kambo,amphetamine_stims,0,0,0,0,,,,,
amphetamine_stims|ketamine,amphetamine_stims,ketamine,2,0,2,2,lindsey_2012;veraart_2021,Drug Interactions between Common Illicit Drugs and Prescription Therapies | Pharmacodynamic Interactions Between Ketamine and Psychiatric Medications Used in the Treatment of Depression: A Systematic Review,lindsey_2012::chunk::5157e31148e1;veraart_2021::chunk::99fa65ad01d5,,lindsey_2012::chunk::5157e31148e1;veraart_2021::chunk::99fa65ad01d5
amphetamine_stims|lamotrigine,amphetamine_stims,lamotrigine,0,0,0,0,,,,,
amphetamine_stims|lithium,amphetamine_stims,lithium,0,1,1,1,gillman_2023,Monoamine oxidase inhibitors and clinically relevant drug interactions,,gillman_2023::chunk::12fd6d056da6,gillman_2023::chunk::12fd6d056da6
amphetamine_stims|lsd,lsd,amphetamine_stims,1,3,4,3,barnett_2025;halman_2024;schmid_2015_a,"Drug-drug interactions involving classic psychedelics: A systematic review | Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms, Extended Release Dextroamphetamine-Amphetamine, and Tranylcypromine | Interactions between bupropion and 3,4-methylenedioxymethamphetamine in healthy subjects",barnett_2025::chunk::757c0ee1256e,halman_2024::chunk::4400ec57461e;halman_2024::chunk::dfd1bb7a18b8;schmid_2015_a::chunk::ffa7efc60709,barnett_2025::chunk::757c0ee1256e;halman_2024::chunk::4400ec57461e;halman_2024::chunk::dfd1bb7a18b8;schmid_2015_a::chunk::ffa7efc60709
amphetamine_stims|maoi_pharma,maoi_pharma,amphetamine_stims,14,14,28,6,baldo_2020;barnett_2025;gillman_2023;lindsey_2012;malcolm_2023;rached_2026,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Drug Interactions between Common Illicit Drugs and Prescription Therapies | Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms, Extended Release Dextroamphetamine-Amphetamine, and Tranylcypromine | Monoamine oxidase inhibitors and clinically relevant drug interactions | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances | The anaesthetist, opioid analgesic drugs, and serotonin toxicity: a mechanistic and clinical review",baldo_2020::chunk::5260debb84cf;barnett_2025::chunk::1ea04b5d746d;barnett_2025::chunk::225be6350ec5;barnett_2025::chunk::5120952c05c8;barnett_2025::chunk::757c0ee1256e;lindsey_2012::chunk::22a1efbbd284;lindsey_2012::chunk::5157e31148e1;malcolm_2023::chunk::7bae4d7c0d3d;rached_2026::chunk::89e8183c85b8;rached_2026::chunk::ccb7ce6fdd3e;rached_2026::chunk::e1501678f2e5;rached_2026::chunk::e96a887142ce;rached_2026::chunk::f0b8f4bd20a9;rached_2026::chunk::f3935f82299a,gillman_2023::chunk::530406309c44;gillman_2023::chunk::6631e88f6197;gillman_2023::chunk::738ca8bf9095;gillman_2023::chunk::84c1833df1a8;gillman_2023::chunk::91378615dfb3;gillman_2023::chunk::91c975178a34;gillman_2023::chunk::9a2e9c712d52;gillman_2023::chunk::a135d87c557e;gillman_2023::chunk::b8d66db543c2;gillman_2023::chunk::df51155c5328;gillman_2023::chunk::fdb36125c7b2;malcolm_2023::chunk::0a92fbaae0fa;malcolm_2023::chunk::c4baa8d977e4;malcolm_2023::chunk::d5c39ea43721,baldo_2020::chunk::5260debb84cf;barnett_2025::chunk::1ea04b5d746d;barnett_2025::chunk::225be6350ec5;barnett_2025::chunk::5120952c05c8;barnett_2025::chunk::757c0ee1256e;gillman_2023::chunk::530406309c44;gillman_2023::chunk::6631e88f6197;gillman_2023::chunk::738ca8bf9095;gillman_2023::chunk::84c1833df1a8;gillman_2023::chunk::91378615dfb3;gillman_2023::chunk::91c975178a34;gillman_2023::chunk::9a2e9c712d52;gillman_2023::chunk::a135d87c557e;gillman_2023::chunk::b8d66db543c2;gillman_2023::chunk::df51155c5328;gillman_2023::chunk::fdb36125c7b2;lindsey_2012::chunk::22a1efbbd284;lindsey_2012::chunk::5157e31148e1;malcolm_2023::chunk::0a92fbaae0fa;malcolm_2023::chunk::7bae4d7c0d3d;malcolm_2023::chunk::c4baa8d977e4;malcolm_2023::chunk::d5c39ea43721;rached_2026::chunk::89e8183c85b8;rached_2026::chunk::ccb7ce6fdd3e;rached_2026::chunk::e1501678f2e5;rached_2026::chunk::e96a887142ce;rached_2026::chunk::f0b8f4bd20a9;rached_2026::chunk::f3935f82299a
amphetamine_stims|mdma,amphetamine_stims,mdma,12,4,16,8,cohen_2021;gillman_2023;liechti_2014;lindsey_2012;malcolm_2023;rached_2026;sarparast_2022;schmid_2015_a,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Drug Interactions between Common Illicit Drugs and Prescription Therapies | Drug-drug interactions between psychiatric medications and MDMA or psilocybin | Effects of MDMA on body temperature in humans | Interactions between bupropion and 3,4-methylenedioxymethamphetamine in healthy subjects | Monoamine oxidase inhibitors and clinically relevant drug interactions | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances",cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;cohen_2021::chunk::a9c56545c673;cohen_2021::chunk::bbefec5b8cb7;gillman_2023::chunk::d953fa38150f;liechti_2014::chunk::cd95581ced7b;lindsey_2012::chunk::22a1efbbd284;lindsey_2012::chunk::5157e31148e1;malcolm_2023::chunk::7bae4d7c0d3d;rached_2026::chunk::89e8183c85b8;rached_2026::chunk::f0b8f4bd20a9;sarparast_2022::chunk::9e324cb4543a,schmid_2015_a::chunk::18b3b805afe9;schmid_2015_a::chunk::521b031e4bf9;schmid_2015_a::chunk::9851c738946f;schmid_2015_a::chunk::e53d49d98afa,cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;cohen_2021::chunk::a9c56545c673;cohen_2021::chunk::bbefec5b8cb7;gillman_2023::chunk::d953fa38150f;liechti_2014::chunk::cd95581ced7b;lindsey_2012::chunk::22a1efbbd284;lindsey_2012::chunk::5157e31148e1;malcolm_2023::chunk::7bae4d7c0d3d;rached_2026::chunk::89e8183c85b8;rached_2026::chunk::f0b8f4bd20a9;sarparast_2022::chunk::9e324cb4543a;schmid_2015_a::chunk::18b3b805afe9;schmid_2015_a::chunk::521b031e4bf9;schmid_2015_a::chunk::9851c738946f;schmid_2015_a::chunk::e53d49d98afa
amphetamine_stims|mescaline_peyote,mescaline_peyote,amphetamine_stims,0,0,0,0,,,,,
amphetamine_stims|methylphenidate,amphetamine_stims,methylphenidate,1,0,1,1,liechti_2014,Effects of MDMA on body temperature in humans,liechti_2014::chunk::2e09ec78047c,,liechti_2014::chunk::2e09ec78047c
amphetamine_stims|nbome_series,amphetamine_stims,nbome_series,0,0,0,0,,,,,
