chunk_id,source_id,source_title,row_index,detected_zero_substance_ids,detected_aliases,mapping_note,question,answer
barnett_2025::chunk::a43ca74dd7e5,barnett_2025,"Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms, Extended Release Dextroamphetamine-Amphetamine, and Tranylcypromine",7,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective serotonin reuptake inhibitor (SSRI).
barnett_2025::chunk::188f586ecb88,barnett_2025,"Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms, Extended Release Dextroamphetamine-Amphetamine, and Tranylcypromine",13,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor.
barnett_2025::chunk::16b697a54fa9,barnett_2025,"Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms, Extended Release Dextroamphetamine-Amphetamine, and Tranylcypromine",15,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The mechanism of action involves inhibiting the enzyme involved in the synthesis of a specific biomolecule.
boitor_2025::chunk::d4895561a4f1,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,2,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor.
boitor_2025::chunk::90b07cf20767,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,4,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective serotonin reuptake inhibitor (SSRI).
boitor_2025::chunk::64ef0dd3d5f2,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,5,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug inhibits the enzyme involved in the synthesis of a specific biomolecule.
boitor_2025::chunk::14107bb3a460,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,7,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned?,The compound acts as a selective inhibitor.
boitor_2025::chunk::ee4b46ee5750,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,11,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of a key cellular component.
boitor_2025::chunk::6478f38b7e84,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,12,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor of the enzyme.
boitor_2025::chunk::8183ea9e721a,boitor_2025,Risk factors for severe opioid-induced respiratory depression in hospitalized adults: A case-control study,13,,,no direct zero-substance alias detected,What is the mechanism of action for the drug mentioned in the chunk?,The drug inhibits the enzyme that is responsible for the conversion of angiotensinogen to angiotensin I.
cohen_2021::chunk::eb2dc658b629,cohen_2021,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database,5,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug works by inhibiting the enzyme involved in the synthesis of a key component.
cohen_2021::chunk::a207e6f251aa,cohen_2021,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database,16,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective inhibitor.
feulner_2023::chunk::cdd926901ee5,feulner_2023,Efficacy and Safety of Psychedelics in Treating Anxiety Disorders,4,,,no direct zero-substance alias detected,What is the mechanism of action for the drug mentioned in the chunk?,The drug acts as a selective serotonin reuptake inhibitor (SSRI).
feulner_2023::chunk::2198432a3976,feulner_2023,Efficacy and Safety of Psychedelics in Treating Anxiety Disorders,10,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor.
feulner_2023::chunk::1ba4fc79e75a,feulner_2023,Efficacy and Safety of Psychedelics in Treating Anxiety Disorders,11,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug inhibits the enzyme involved in the synthesis of a key metabolic pathway.
hesselink_2018::chunk::c24627622e1b,hesselink_2018,Kambo and its Multitude of Biological Effects: Adverse Events or Pharmacological Effects?,5,,,no direct zero-substance alias detected,What is the mechanism of action for the compound mentioned in the chunk?,The mechanism of action involves inhibiting the enzyme involved in the synthesis of a specific target.
higgins_2021::chunk::1e9f56919c4e,higgins_2021,Low doses of psilocybin and ketamine enhance motivation and attention in poor performing rats: evidence for an antidepressant property,10,,,no direct zero-substance alias detected,What are the required symptoms for a diagnosis of Major Depressive Disorder (MDD) according to DSM-V criteria?,"An individual must experience five or more symptoms during the same 2-week period, including either depressed mood or loss of interest or pleasure."
holze_2024::chunk::05210acd147c,holze_2024,"Serotonergic Psychedelics: A Comparative Review of Efficacy, Safety, Pharmacokinetics, and Binding Profile",7,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as an inhibitor of a specific enzyme.
holze_2024::chunk::23f1bd48d824,holze_2024,"Serotonergic Psychedelics: A Comparative Review of Efficacy, Safety, Pharmacokinetics, and Binding Profile",10,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound inhibits the enzyme involved in the synthesis of a specific biomolecule.
kadriu_2021::chunk::851cef7ea68a,kadriu_2021,Ketamine and serotonergic psychedelics: common mechanisms underlying the effects of rapid-acting antidepressants,13,,,no direct zero-substance alias detected,What psychiatric disorders did classic serotonergic psychedelics show promise in treating before being banned?,"Depression, anxiety, obsessive-compulsive disorder, and alcoholism."
kadriu_2021::chunk::4c437e9a33dc,kadriu_2021,Ketamine and serotonergic psychedelics: common mechanisms underlying the effects of rapid-acting antidepressants,18,,,no direct zero-substance alias detected,What are the potential adverse risks associated with SP therapy?,"Adverse risks include distressing experiences, prolonged psychosis, flashbacks, or persisting perceptual disturbances."
kargbo_2025::chunk::0122ea46f6ef,kargbo_2025,Reducing cardiovascular side effects of DMT using beta‑blockers,3,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts by inhibiting the enzyme involved in the synthesis of prostaglandins.
kargbo_2025::chunk::e16488cfb393,kargbo_2025,Reducing cardiovascular side effects of DMT using beta‑blockers,4,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug works by inhibiting the enzyme involved in the synthesis of a key component.
kargbo_2025::chunk::4e91ecfabf6a,kargbo_2025,Reducing cardiovascular side effects of DMT using beta‑blockers,8,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective inhibitor.
kargbo_2025::chunk::49e9d5ec3ef1,kargbo_2025,Reducing cardiovascular side effects of DMT using beta‑blockers,13,,,no direct zero-substance alias detected,What is the mechanism of action for the compound mentioned in the chunk?,The compound acts by inhibiting specific enzymes involved in the disease process.
ken_2024::chunk::a0de931c859f,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,1,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The mechanism of action involves inhibiting the enzyme that catalyzes the conversion of a specific substrate.
ken_2024::chunk::383a1cc2ede0,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,2,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts by inhibiting the enzyme involved in the synthesis of a specific biochemical pathway.
ken_2024::chunk::0dab3b115bf1,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,3,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned?,The drug acts as a selective serotonin reuptake inhibitor (SSRI).
ken_2024::chunk::784fb66a5309,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,4,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor of the enzyme.
ken_2024::chunk::53563166a58e,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,5,,,no direct zero-substance alias detected,What is the mechanism of action for the drug mentioned in the chunk?,The drug works by inhibiting the enzyme involved in the synthesis of a specific biomolecule.
ken_2024::chunk::0846c79cca98,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,9,,,no direct zero-substance alias detected,What is the mechanism of action for the compound mentioned in the chunk?,The compound acts by inhibiting the enzyme involved in the synthesis of a key biomolecule.
ken_2024::chunk::0aa049a5bc91,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,10,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as an antagonist at the serotonin 5-HT2A receptor.
ken_2024::chunk::7061d4fcbd9f,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,11,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned?,The compound acts as an inhibitor of the enzyme.
ken_2024::chunk::33ba7e18f421,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,12,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of a specific neurotransmitter.
ken_2024::chunk::9acf14dbdd5f,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,13,,,no direct zero-substance alias detected,What is the mechanism of action for the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of a specific compound.
ken_2024::chunk::f63c43de9474,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,14,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective inhibitor.
knox_24::chunk::b1f61fc36e57,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,1,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned?,The compound acts as a selective inhibitor.
knox_24::chunk::51407c05f6da,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,2,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective inhibitor of the enzyme.
knox_24::chunk::dec7ac8959e6,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,3,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective serotonin reuptake inhibitor (SSRI).
knox_24::chunk::32e05eaaffdf,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,4,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of a specific compound.
knox_24::chunk::be583f6added,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,5,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor.
knox_24::chunk::9ad5a9663808,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,6,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective inhibitor.
knox_24::chunk::91b1a2b5cb75,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,7,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of a specific target.
knox_24::chunk::0fa6dc20c75c,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,8,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor of the enzyme.
knox_24::chunk::cbe551490a72,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,9,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned?,The compound acts as a selective inhibitor of the enzyme.
knox_24::chunk::02f98e0cd93c,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,10,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of a key component.
knox_24::chunk::46d6f1891ac7,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,11,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug works by inhibiting the enzyme involved in the synthesis of a specific compound.
knuijver_2020::chunk::3df1f2690610,knuijver_2020,Safety of ibogaine administration in detoxification of opioid-dependent individuals: a descriptive open-label observational study,6,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective inhibitor.
knuijver_2020::chunk::e07465b24e05,knuijver_2020,Safety of ibogaine administration in detoxification of opioid-dependent individuals: a descriptive open-label observational study,9,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor of the enzyme.
knuijver_2020::chunk::0590ea92c385,knuijver_2020,Safety of ibogaine administration in detoxification of opioid-dependent individuals: a descriptive open-label observational study,20,,,no direct zero-substance alias detected,,
knuijver_2024::chunk::0a7bc2cf644b,knuijver_2024,The pharmacokinetics and pharmacodynamics of ibogaine in opioid use disorder patients,1,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts by inhibiting the enzyme involved in the biosynthesis of nucleic acids.
liechti_2014::chunk::4b280b2f96fa,liechti_2014,Effects of MDMA on body temperature in humans,7,,,no direct zero-substance alias detected,What is the mechanism of action for the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of a key component.
lindsey_2012::chunk::b1697e59f077,lindsey_2012,Drug Interactions between Common Illicit Drugs and Prescription Therapies,5,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor of the enzyme.
luz_2021::chunk::89324ba2f3d1,luz_2021,Reply to Knuijver et al. on the Safety of ibogaine administration in detoxification of opioid-dependent individuals,3,,,no direct zero-substance alias detected,What is the mechanism of action for the compound mentioned in the chunk?,The mechanism of action involves inhibiting the enzyme responsible for the synthesis of a key neurotransmitter.
luz_2021::chunk::2b9a48223454,luz_2021,Reply to Knuijver et al. on the Safety of ibogaine administration in detoxification of opioid-dependent individuals,6,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective inhibitor.
luz_2021::chunk::9e0a6140fbb3,luz_2021,Reply to Knuijver et al. on the Safety of ibogaine administration in detoxification of opioid-dependent individuals,9,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The mechanism of action involves inhibiting the enzyme involved in the synthesis of a specific neurotransmitter.
marinis_2025::chunk::676bbe2b4643,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,1,,,no direct zero-substance alias detected,What is the mechanism of action for the drug mentioned in the chunk?,The drug acts as a selective serotonin reuptake inhibitor (SSRI).
marinis_2025::chunk::1866b485d24c,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,2,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of certain compounds.
marinis_2025::chunk::6c9331257f52,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,4,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug inhibits the enzyme cyclooxygenase.
marinis_2025::chunk::c688970d7bb5,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,5,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug works by inhibiting the enzyme involved in the synthesis of a specific compound.
marinis_2025::chunk::b4984a109197,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,7,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor.
marinis_2025::chunk::f83d964b7720,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,10,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective serotonin reuptake inhibitor (SSRI).
marinis_2025::chunk::9778f49eb787,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,11,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective inhibitor.
marinis_2025::chunk::afa4f398ef82,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,12,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as an inhibitor of the enzyme.
nayak_2021::chunk::f2b4b9ed501e,nayak_2021,Classic Psychedelic Coadministration with Lithium,1,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor.
nayak_2021::chunk::a47d77077a0b,nayak_2021,Classic Psychedelic Coadministration with Lithium,8,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug inhibits the enzyme cyclooxygenase.
nicholas_2024::chunk::673110bc3912,nicholas_2024,Co-administration of midazolam and psilocybin: differential effects on subjective quality versus memory of the psychedelic experience,7,,,no direct zero-substance alias detected,What is the mechanism of action for the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of nucleic acids.
nicholas_2024::chunk::e7072369d747,nicholas_2024,Co-administration of midazolam and psilocybin: differential effects on subjective quality versus memory of the psychedelic experience,14,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor of the enzyme.
nicholas_2024::chunk::da34704dd773,nicholas_2024,Co-administration of midazolam and psilocybin: differential effects on subjective quality versus memory of the psychedelic experience,15,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as an inhibitor of the enzyme cyclooxygenase.
sarparast_2022::chunk::dd16ab77e8d6,sarparast_2022,Drug-drug interactions between psychiatric medications and MDMA or psilocybin,10,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of prostaglandins.
schmid_2015_b::chunk::d4cb303f1f88,schmid_2015_b,Effects of methylphenidate and MDMA on appraisal of erotic stimuli and intimate relationships,5,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective inhibitor.
schmid_2015_b::chunk::4cee5b0301c8,schmid_2015_b,Effects of methylphenidate and MDMA on appraisal of erotic stimuli and intimate relationships,9,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts by inhibiting the enzyme involved in the synthesis of a specific biomolecule.
shen_2010::chunk::e8b0515b2c43,shen_2010,"Effects of monoamine oxidase inhibitor and cytochrome P450 2D6 status on 5-methoxy-N,N-dimethyltryptamine metabolism and pharmacokinetics",11,,,no direct zero-substance alias detected,What is the mechanism of action for the drug mentioned in the chunk?,The drug acts as a selective serotonin reuptake inhibitor (SSRI).
tran_2025::chunk::aa5519b16d5a,tran_2025,Shamanic Kambô Frog Hyponatremic Toxicity Leading to Brain Death: A Case Report,1,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as an antagonist.
tran_2025::chunk::6459d1a8e700,tran_2025,Shamanic Kambô Frog Hyponatremic Toxicity Leading to Brain Death: A Case Report,7,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor of the enzyme.
tran_2025::chunk::65695caf6e3e,tran_2025,Shamanic Kambô Frog Hyponatremic Toxicity Leading to Brain Death: A Case Report,10,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of a specific compound.
tran_2025::chunk::6a7a1fe2bc2e,tran_2025,Shamanic Kambô Frog Hyponatremic Toxicity Leading to Brain Death: A Case Report,11,,,no direct zero-substance alias detected,What is the mechanism of action for the compound mentioned in the chunk?,The compound acts by inhibiting the enzyme involved in the biosynthesis of cholesterol.
veraart_2021::chunk::00176e2562fd,veraart_2021,Pharmacodynamic Interactions Between Ketamine and Psychiatric Medications Used in the Treatment of Depression: A Systematic Review,8,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective inhibitor.
waters_2021::chunk::3248e23aaf4a,waters_2021,Pharmacologic Similarities and Differences Among Hallucinogens,1,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug inhibits the enzyme cyclooxygenase.
waters_2021::chunk::57502eea650c,waters_2021,Pharmacologic Similarities and Differences Among Hallucinogens,2,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The mechanism of action is not explicitly stated in the provided chunk.
wojtas_2022::chunk::d274885140f4,wojtas_2022,"Effect of psilocybin and ketamine on brain neurotransmitters, glutamate receptors, DNA and rat behaviour",4,,,no direct zero-substance alias detected,What percentage of adults worldwide are affected by major depressive disorder?,Up to 5% of adults worldwide.
wsol_2023::chunk::8b9ead949df1,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,1,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of a specific compound.
wsol_2023::chunk::5d8b5e07fa7c,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,3,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective serotonin reuptake inhibitor (SSRI).
wsol_2023::chunk::ea53547877a4,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,4,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts by inhibiting the enzyme involved in the synthesis of a specific biomolecule.
wsol_2023::chunk::221ee287abaa,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,5,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts as a selective inhibitor.
wsol_2023::chunk::87915098cd79,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,7,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug inhibits the enzyme that is responsible for the synthesis of a key component in the pathogen's cell wall.
wsol_2023::chunk::8203e4a0762c,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,8,,,no direct zero-substance alias detected,What is the mechanism of action for the compound mentioned in the chunk?,The compound acts by inhibiting the enzyme involved in the biosynthesis of a key cellular component.
wsol_2023::chunk::b4ec42478917,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,9,,,no direct zero-substance alias detected,What is the mechanism of action for the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of a key component.
wsol_2023::chunk::4381f052a470,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,10,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned in the chunk?,The compound acts as a selective inhibitor of the enzyme.
wsol_2023::chunk::2d415cedb0ad,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,11,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned?,The compound acts as an inhibitor of the enzyme.
wsol_2023::chunk::ef91b2982fa5,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,14,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug inhibits the enzyme involved in the synthesis of cholesterol.
