pair_key,substance_a_id,substance_b_id,code,status,confidence,risk_score,headline,mechanism_primary_category,evidence_tier,validation_flags,source_refs,source_text
psilocybin|tobacco_rape,psilocybin,tobacco_rape,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
amphetamine_stims|psilocybin,psilocybin,amphetamine_stims,CAUTION,low_confidence,low,3,Prescription or recreational amphetamine stimulants add cardiovascular and anxiety load to psilocybin even without MAOI potentiation.,maoi_potentiation,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
methylphenidate|psilocybin,psilocybin,methylphenidate,CAUTION,low_confidence,low,3,"Outside the ayahuasca/MAOI context this is not the same level of crisis risk, but additive heart-rate, blood-pressure, and anxiety load still warrant caution.",maoi_potentiation,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
cocaine|psilocybin,psilocybin,cocaine,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,psilocybin_clinicians_guide_interactions,source-gap
mdma_2cx_dox_nbome|psilocybin,psilocybin,mdma_2cx_dox_nbome,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,psilocybin_clinicians_guide_interactions,source-gap
antihypertensives|psilocybin,psilocybin,antihypertensives,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,low_confidence;theoretical_interaction,psilocybin_clinicians_guide_interactions,source-gap
lamotrigine|psilocybin,psilocybin,lamotrigine,LOW_MOD,low_confidence,low,2,"Current observational evidence suggests lower interaction concern than lithium, with many reports describing little change in intensity and no seizure signal.",seizure_threshold,observational_report,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
ketamine|psilocybin,ketamine,psilocybin,THEORETICAL,low_confidence,low,2,An NMDA-antagonist pair with a classic psychedelic suggests glutamate modulation and dissociative synergy rather than a clearly defined toxic syndrome.,glutamate_modulation,theoretical,missing_timing;low_confidence;theoretical_interaction,frontiers_low_dose_psilocybin_ketamine_motivation;ketamine_serotonergic_psychedelics_common_mechanisms_pmc;overview_psilocybin_lsd_mdma_ketamine_2025,Frontiers Low Dose Psilocybin Ketamine Motivation; Psilocybin Ketamine Neurotransmitters Pmc; Ketamine Serotonergic Psychedelics Common Mechanisms Pmc; Overview Psilocybin Lsd Mdma Ketamine 2025
clonidine_guanfacine|psilocybin,psilocybin,clonidine_guanfacine,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,low_confidence;inferred_mechanism_added;override_applied,cardiovascular_safety_psychedelic_medicine_2023;psilocybin_clinicians_guide_interactions;classic_psychedelic_ddi_review_2024,Cardiovascular safety of psychedelic medicine: current status and future directions; Psilocybin: A Clinician's Guide to Pharmacological Interactions; Drug-drug interactions involving classic psychedelics
beta_blockers_ccb|psilocybin,psilocybin,beta_blockers_ccb,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,low_confidence;inferred_mechanism_added;override_applied,cardiovascular_safety_psychedelic_medicine_2023;psilocybin_clinicians_guide_interactions;classic_psychedelic_ddi_review_2024,Cardiovascular safety of psychedelic medicine: current status and future directions; Psilocybin: A Clinician's Guide to Pharmacological Interactions; Beta Blockers - StatPearls - NCBI Bookshelf; Drug-drug interactions involving classic psychedelics
beta_blockers|psilocybin,psilocybin,beta_blockers,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,low_confidence;theoretical_interaction,cardiovascular_safety_psychedelic_medicine_2023;psilocybin_clinicians_guide_interactions;beta_blockers_statpearls;classic_psychedelic_ddi_review_2024,Cardiovascular safety of psychedelic medicine: current status and future directions; Psilocybin: A Clinician's Guide to Pharmacological Interactions; Beta Blockers - StatPearls - NCBI Bookshelf; Drug-drug interactions involving classic psychedelics
calcium_channel_blockers|psilocybin,psilocybin,calcium_channel_blockers,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,low_confidence;theoretical_interaction,cardiovascular_safety_psychedelic_medicine_2023;psilocybin_clinicians_guide_interactions;classic_psychedelic_ddi_review_2024,Cardiovascular safety of psychedelic medicine: current status and future directions; Psilocybin: A Clinician's Guide to Pharmacological Interactions; Beta Blockers - StatPearls - NCBI Bookshelf; Drug-drug interactions involving classic psychedelics
nn_dmt|salvia,nn_dmt,salvia,CAUTION,low_confidence,low,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",psychiatric_destabilization,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
kambo|nn_dmt,nn_dmt,kambo,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
nn_dmt|tobacco_rape,nn_dmt,tobacco_rape,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
cannabis|nn_dmt,nn_dmt,cannabis,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,cannabis_psychedelic_experience_pubmed,source-gap
ndri_bupropion|nn_dmt,nn_dmt,ndri_bupropion,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
amphetamine_stims|nn_dmt,nn_dmt,amphetamine_stims,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
methylphenidate|nn_dmt,nn_dmt,methylphenidate,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
cocaine|nn_dmt,nn_dmt,cocaine,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
mdma_2cx_dox_nbome|nn_dmt,nn_dmt,mdma_2cx_dox_nbome,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
antipsychotics|nn_dmt,nn_dmt,antipsychotics,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,classic_psychedelic_ddi_review_2024,source-gap
antihypertensives|nn_dmt,nn_dmt,antihypertensives,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,missing_timing;low_confidence;theoretical_interaction,human_heart_hallucinogenic_drugs_2024,source-gap
lamotrigine|nn_dmt,nn_dmt,lamotrigine,LOW_MOD,low_confidence,low,2,"Lamotrigine currently looks substantially lower-risk than lithium with classic psychedelics, with mostly observational evidence of minimal effect modulation.",seizure_threshold,observational_report,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
ketamine|nn_dmt,nn_dmt,ketamine,THEORETICAL,low_confidence,low,2,An NMDA-antagonist pair with a classic psychedelic suggests glutamate modulation and dissociative synergy rather than a clearly defined toxic syndrome.,glutamate_modulation,theoretical,missing_timing;low_confidence;theoretical_interaction,ketamine_psychiatric_medication_interactions_ijnp,source-gap
clonidine_guanfacine|nn_dmt,nn_dmt,clonidine_guanfacine,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added;override_applied,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
beta_blockers_ccb|nn_dmt,nn_dmt,beta_blockers_ccb,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added;override_applied,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
beta_blockers|nn_dmt,nn_dmt,beta_blockers,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,missing_timing;low_confidence;theoretical_interaction,beta_blockers_statpearls,source-gap
calcium_channel_blockers|nn_dmt,nn_dmt,calcium_channel_blockers,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,missing_timing;low_confidence;theoretical_interaction,human_heart_hallucinogenic_drugs_2024,source-gap
five_meo_dmt|salvia,five_meo_dmt,salvia,CAUTION,low_confidence,low,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",psychiatric_destabilization,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
five_meo_dmt|kambo,five_meo_dmt,kambo,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
five_meo_dmt|tobacco_rape,five_meo_dmt,tobacco_rape,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
cannabis|five_meo_dmt,five_meo_dmt,cannabis,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,cannabis_psychedelic_experience_pubmed,source-gap
five_meo_dmt|ndri_bupropion,five_meo_dmt,ndri_bupropion,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
amphetamine_stims|five_meo_dmt,five_meo_dmt,amphetamine_stims,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
five_meo_dmt|methylphenidate,five_meo_dmt,methylphenidate,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
cocaine|five_meo_dmt,five_meo_dmt,cocaine,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
five_meo_dmt|mdma_2cx_dox_nbome,five_meo_dmt,mdma_2cx_dox_nbome,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
antipsychotics|five_meo_dmt,five_meo_dmt,antipsychotics,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,classic_psychedelic_ddi_review_2024,source-gap
antihypertensives|five_meo_dmt,five_meo_dmt,antihypertensives,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,missing_timing;low_confidence;theoretical_interaction,human_heart_hallucinogenic_drugs_2024,source-gap
five_meo_dmt|lamotrigine,five_meo_dmt,lamotrigine,LOW_MOD,low_confidence,low,2,"Lamotrigine currently looks substantially lower-risk than lithium with classic psychedelics, with mostly observational evidence of minimal effect modulation.",seizure_threshold,observational_report,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
five_meo_dmt|ketamine,five_meo_dmt,ketamine,THEORETICAL,low_confidence,low,2,An NMDA-antagonist pair with a classic psychedelic suggests glutamate modulation and dissociative synergy rather than a clearly defined toxic syndrome.,glutamate_modulation,theoretical,missing_timing;low_confidence;theoretical_interaction,ketamine_psychiatric_medication_interactions_ijnp,source-gap
clonidine_guanfacine|five_meo_dmt,five_meo_dmt,clonidine_guanfacine,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added;override_applied,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
beta_blockers_ccb|five_meo_dmt,five_meo_dmt,beta_blockers_ccb,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added;override_applied,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
beta_blockers|five_meo_dmt,five_meo_dmt,beta_blockers,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,missing_timing;low_confidence;theoretical_interaction,beta_blockers_statpearls,source-gap
calcium_channel_blockers|five_meo_dmt,five_meo_dmt,calcium_channel_blockers,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,missing_timing;low_confidence;theoretical_interaction,human_heart_hallucinogenic_drugs_2024,source-gap
mescaline_peyote|salvia,mescaline_peyote,salvia,CAUTION,low_confidence,low,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",psychiatric_destabilization,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
kambo|mescaline_peyote,mescaline_peyote,kambo,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
mescaline_peyote|tobacco_rape,mescaline_peyote,tobacco_rape,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
cannabis|mescaline_peyote,mescaline_peyote,cannabis,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,cannabis_psychedelic_experience_pubmed,source-gap
mescaline_peyote|ndri_bupropion,mescaline_peyote,ndri_bupropion,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
amphetamine_stims|mescaline_peyote,mescaline_peyote,amphetamine_stims,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
mescaline_peyote|methylphenidate,mescaline_peyote,methylphenidate,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
cocaine|mescaline_peyote,mescaline_peyote,cocaine,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
mdma_2cx_dox_nbome|mescaline_peyote,mescaline_peyote,mdma_2cx_dox_nbome,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
antipsychotics|mescaline_peyote,mescaline_peyote,antipsychotics,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,classic_psychedelic_ddi_review_2024,source-gap
antihypertensives|mescaline_peyote,mescaline_peyote,antihypertensives,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,low_confidence;theoretical_interaction,human_heart_hallucinogenic_drugs_2024,source-gap
lamotrigine|mescaline_peyote,mescaline_peyote,lamotrigine,LOW_MOD,low_confidence,low,2,"Lamotrigine currently looks substantially lower-risk than lithium with classic psychedelics, with mostly observational evidence of minimal effect modulation.",seizure_threshold,observational_report,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
ketamine|mescaline_peyote,mescaline_peyote,ketamine,THEORETICAL,low_confidence,low,2,An NMDA-antagonist pair with a classic psychedelic suggests glutamate modulation and dissociative synergy rather than a clearly defined toxic syndrome.,glutamate_modulation,theoretical,missing_timing;low_confidence;theoretical_interaction,ketamine_psychiatric_medication_interactions_ijnp,source-gap
clonidine_guanfacine|mescaline_peyote,mescaline_peyote,clonidine_guanfacine,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added;override_applied,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
beta_blockers_ccb|mescaline_peyote,mescaline_peyote,beta_blockers_ccb,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added;override_applied,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
beta_blockers|mescaline_peyote,mescaline_peyote,beta_blockers,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,missing_timing;low_confidence;theoretical_interaction,beta_blockers_statpearls,source-gap
calcium_channel_blockers|mescaline_peyote,mescaline_peyote,calcium_channel_blockers,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,missing_timing;low_confidence;theoretical_interaction,human_heart_hallucinogenic_drugs_2024,source-gap
salvia|yopo,yopo,salvia,CAUTION,low_confidence,low,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",psychiatric_destabilization,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
kambo|yopo,yopo,kambo,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
tobacco_rape|yopo,yopo,tobacco_rape,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,overview_psilocybin_lsd_mdma_ketamine_2025,source-gap
cannabis|yopo,yopo,cannabis,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,cannabis_psychedelic_experience_pubmed,source-gap
ndri_bupropion|yopo,yopo,ndri_bupropion,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
amphetamine_stims|yopo,yopo,amphetamine_stims,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
methylphenidate|yopo,yopo,methylphenidate,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
cocaine|yopo,yopo,cocaine,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
mdma_2cx_dox_nbome|yopo,yopo,mdma_2cx_dox_nbome,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,classic_psychedelic_ddi_review_2024,source-gap
antipsychotics|yopo,yopo,antipsychotics,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,classic_psychedelic_ddi_review_2024,source-gap
